country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB","10-03-2025 23:00:00",20.94185,86.11510,NO2,1,16,7
India,Odisha,Byasanagar,"Ferro Chrome Colony, Byasanagar - OSPCB","10-03-2025 23:00:00",20.94185,86.11510,SO2,1,40,9
India,Odisha,Cuttack,"CDA Area, Cuttack - OSPCB","10-03-2025 23:00:00","20.48891     ","85.84768     ",NO2,10,53,21
India,Odisha,Cuttack,"CDA Area, Cuttack - OSPCB","10-03-2025 23:00:00","20.48891     ","85.84768     ",CO,67,106,99
India,Odisha,Keonjhar,"Jagamohanpur, Keonjhar - OSPCB","10-03-2025 23:00:00",21.643900,85.599355,NH3,5,7,6
India,Odisha,Keonjhar,"Jagamohanpur, Keonjhar - OSPCB","10-03-2025 23:00:00",21.643900,85.599355,CO,16,104,64
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","10-03-2025 23:00:00",21.941841,86.728318,OZONE,26,172,72
India,Odisha,Bhubaneswar,"Lingraj Mandir, Bhubaneswar - OSPCB","10-03-2025 23:00:00",20.240790,85.836784,SO2,7,12,9
India,Odisha,Bhubaneswar,"Patia, Bhubaneswar - OSPCB","10-03-2025 23:00:00",20.34652,85.81630,NH3,3,8,5
India,Odisha,Bileipada,"Tata Township, Bileipada - OSPCB","10-03-2025 23:00:00",22.06156703,85.47409613,PM10,96,214,144
India,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB","10-03-2025 23:00:00",23.7176342,92.7192841,SO2,2,2,2
India,Mizoram,Aizawl,"Sikulpuikawn, Aizawl - Mizoram PCB","10-03-2025 23:00:00",23.7176342,92.7192841,CO,3,3,3
India,Odisha,Angul,"Hakimapada, Angul - OSPCB","10-03-2025 23:00:00",20.832874,85.104082,PM2.5,55,500,134
India,Odisha,Balasore,"Kalidaspur, Balasore - OSPCB","10-03-2025 23:00:00",21.51161,86.89088,NO2,NA,NA,NA
India,Puducherry,Puducherry,"Jawahar Nagar, Puducherry - PPCC","10-03-2025 23:00:00",11.9309,79.8027,CO,15,28,20
India,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB","10-03-2025 23:00:00",31.620000,74.876512,NH3,6,7,7
India,Punjab,Amritsar,"Golden Temple, Amritsar - PPCB","10-03-2025 23:00:00",31.620000,74.876512,CO,1,148,41
India,Odisha,Barbil,"Forest Office, Barbil - OSPCB","10-03-2025 23:00:00",22.1166054,85.3945546,OZONE,2,12,8
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","10-03-2025 23:00:00",21.941841,86.728318,SO2,2,60,22
India,Odisha,Baripada,"Meher Colony, Baripada - OSPCB","10-03-2025 23:00:00",21.941841,86.728318,CO,32,86,71
India,Odisha,Nayagarh,"Dabuna, Nayagarh - OSPCB","10-03-2025 23:00:00",21.847279,85.416905,SO2,8,23,11
India,Odisha,Rairangpur,"Divisional Forest Office, Rairangpur - OSPCB","10-03-2025 23:00:00",22.265816,86.174829,PM10,10,124,79
India,Odisha,Rairangpur,"Divisional Forest Office, Rairangpur - OSPCB","10-03-2025 23:00:00",22.265816,86.174829,NO2,NA,NA,NA
India,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB","10-03-2025 23:00:00",20.9360711,85.1707021,NH3,3,4,4
India,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB","10-03-2025 23:00:00",20.9360711,85.1707021,CO,20,59,53
India,Meghalaya,Shillong,"Lumpyngngad, Shillong - Meghalaya PCB","10-03-2025 23:00:00",25.5586,91.8985,PM2.5,5,27,14
India,Meghalaya,Shillong,"Lumpyngngad, Shillong - Meghalaya PCB","10-03-2025 23:00:00",25.5586,91.8985,NO2,NA,NA,NA
India,Odisha,Rairangpur,"Divisional Forest Office, Rairangpur - OSPCB","10-03-2025 23:00:00",22.265816,86.174829,OZONE,1,215,140
India,Rajasthan,Barmer,"Railway Colony, Barmer - RSPCB","10-03-2025 23:00:00",25.747299,71.393989,PM10,30,458,95
India,Rajasthan,Bharatpur,"Krishna Nagar, Bharatpur - RSPCB","10-03-2025 23:00:00",27.215415,77.50873,SO2,8,17,11
India,Rajasthan,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB","10-03-2025 23:00:00",25.339605,74.618883,PM2.5,19,262,85
India,Rajasthan,Bhilwara,"Pratap Nagar, Bhilwara - RSPCB","10-03-2025 23:00:00",25.339605,74.618883,CO,12,111,41
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB","10-03-2025 23:00:00",28.194909,76.862296,PM2.5,67,327,202
India,Rajasthan,Bhiwadi,"RIICO Ind. Area III, Bhiwadi - RSPCB","10-03-2025 23:00:00",28.194909,76.862296,OZONE,9,73,34
India,Rajasthan,Bhiwadi,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB","10-03-2025 23:00:00",28.207266,76.829265,PM2.5,56,313,167
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","10-03-2025 23:00:00",31.321907,75.578914,NH3,2,4,3
India,Punjab,Jalandhar,"Civil Line, Jalandhar - PPCB","10-03-2025 23:00:00",31.321907,75.578914,OZONE,2,81,48
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","10-03-2025 23:00:00","30.736056 ",76.209694,NO2,26,30,28
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","10-03-2025 23:00:00","30.736056 ",76.209694,NH3,7,8,7
India,Punjab,Khanna,"Kalal Majra, Khanna - PPCB","10-03-2025 23:00:00","30.736056 ",76.209694,OZONE,10,40,25
India,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB","10-03-2025 23:00:00",30.9028,75.8086,PM2.5,59,181,121
India,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB","10-03-2025 23:00:00",30.9028,75.8086,SO2,14,42,24
India,Rajasthan,Bhiwadi,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB","10-03-2025 23:00:00",28.207266,76.829265,PM10,123,291,187
India,Rajasthan,Bhiwadi,"Vasundhara Nagar_UIT, Bhiwadi - RSPCB","10-03-2025 23:00:00",28.207266,76.829265,NO2,21,81,49
India,Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB","10-03-2025 23:00:00",28.018792,73.292658,NO2,13,120,52
India,Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB","10-03-2025 23:00:00",28.018792,73.292658,SO2,2,20,8
India,Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB","10-03-2025 23:00:00",28.018792,73.292658,OZONE,1,92,55
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB","10-03-2025 23:00:00",25.435774,75.644272,NO2,11,90,32
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB","10-03-2025 23:00:00",25.435774,75.644272,NH3,4,11,6
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB","10-03-2025 23:00:00",26.902909,75.836858,NO2,19,60,34
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB","10-03-2025 23:00:00",26.902909,75.836858,NH3,4,8,5
India,Rajasthan,Jaipur,"Adarsh Nagar, Jaipur - RSPCB","10-03-2025 23:00:00",26.902909,75.836858,OZONE,26,42,35
India,Rajasthan,Jaipur,"Mansarovar Sector-12, Jaipur - RSPCB","10-03-2025 23:00:00",26.843698,75.766894,SO2,3,10,7
India,Rajasthan,Jaipur,"Police Commissionerate, Jaipur - RSPCB","10-03-2025 23:00:00",26.9164092,75.7994901,PM2.5,38,93,70
India,Punjab,Ludhiana,"Punjab Agricultural University, Ludhiana - PPCB","10-03-2025 23:00:00",30.9028,75.8086,OZONE,6,17,13
India,Punjab,Rupnagar,"Ratanpura, Rupnagar - Ambuja Cements","10-03-2025 23:00:00",31.0325454,76.5623046,PM2.5,43,178,100
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","10-03-2025 23:00:00",26.470859,74.646594,PM2.5,40,313,111
India,Rajasthan,Ajmer,"Civil Lines,  Ajmer - RSPCB","10-03-2025 23:00:00",26.470859,74.646594,CO,11,101,59
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB","10-03-2025 23:00:00",27.554793,76.611536,PM10,77,122,96
India,Rajasthan,Alwar,"Moti Doongri, Alwar - RSPCB","10-03-2025 23:00:00",27.554793,76.611536,OZONE,9,62,37
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB","10-03-2025 23:00:00",28.296139,74.961696,SO2,2,11,8
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB","10-03-2025 23:00:00",28.296139,74.961696,OZONE,31,152,122
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB","10-03-2025 23:00:00",29.610750,74.283608,NO2,13,33,24
India,Rajasthan,Dausa,"Khatikan Mohalla, Dausa - RSPCB","10-03-2025 23:00:00",26.895552,76.334753,OZONE,77,140,106
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","10-03-2025 23:00:00",25.164090,75.858137,NO2,44,129,70
India,Rajasthan,Kota,"Dhanmandi, Kota - RSPCB","10-03-2025 23:00:00",25.164090,75.858137,NH3,6,9,7
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","10-03-2025 23:00:00",25.196024,75.855668,PM10,72,144,104
India,Rajasthan,Kota,"Nayapura, Kota - RSPCB","10-03-2025 23:00:00",25.196024,75.855668,OZONE,4,99,49
India,Rajasthan,Nagaur,"Karni Colony, Nagaur - RSPCB","10-03-2025 23:00:00",27.213494,73.734444,OZONE,1,99,53
India,Rajasthan,Pali,"Indira Colony Vistar, Pali - RSPCB","10-03-2025 23:00:00",25.771061," 73.340227",CO,18,90,52
India,Rajasthan,Rajsamand,"Dhoinda, Rajsamand - RSPCB","10-03-2025 23:00:00",25.036360,73.883502,NO2,2,90,30
India,Rajasthan,"Sawai Madhopur","Sahu Nagar, Sawai Madhopur - RSPCB","10-03-2025 23:00:00",26.031443,76.359327,PM2.5,8,184,40
India,Rajasthan,"Sawai Madhopur","Sahu Nagar, Sawai Madhopur - RSPCB","10-03-2025 23:00:00",26.031443,76.359327,NH3,8,48,13
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB","10-03-2025 23:00:00",24.588397,76.172782,PM10,34,164,65
India,Rajasthan,Jhalawar,"Rajlaxmi Nagar, Jhalawar - RSPCB","10-03-2025 23:00:00",24.588397,76.172782,NO2,10,93,29
India,Rajasthan,Jhunjhunu,"Indra Nagar, Jhunjhunu - RSPCB","10-03-2025 23:00:00",28.108988,75.386577,CO,15,44,25
India,Rajasthan,Jodhpur,"Collectorate, Jodhpur - RSPCB","10-03-2025 23:00:00",26.268249,73.0193853,PM2.5,8,312,87
India,Rajasthan,Tonk,"Shastri Nagar, Tonk - RSPCB","10-03-2025 23:00:00",26.159933,75.780517,NO2,13,96,32
India,Rajasthan,Udaipur,"Ashok Nagar, Udaipur - RSPCB","10-03-2025 23:00:00",24.5886166,73.6321397,CO,5,127,71
India,TamilNadu,Chengalpattu,"Crescent University, Chengalpattu - TNPCB","10-03-2025 23:00:00",12.8777316,80.0834807,CO,20,22,20
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","10-03-2025 23:00:00",27.608912,75.153302,PM10,36,207,113
India,Rajasthan,Sikar,"Radhakishan Pura, Sikar - RSPCB","10-03-2025 23:00:00",27.608912,75.153302,CO,14,51,32
